"","hour","meanH","sdH","minH","maxH","varH","rateH","posH","negH","neutH","proximityH"
"334","Feb 17 00",-0.33729419525066,0.458696153904115,-0.9719,0.8442,0.210402161606428,379,0.0800633245382586,0.196620052770449,0.723284960422164,53.1261888009381
"335","Feb 17 01",-0.40115395480226,0.436861991028378,-0.9657,0.7003,0.190848399205278,354,0.0739745762711864,0.220053672316384,0.705954802259887,54.1536911487759
"336","Feb 17 02",-0.339461708860759,0.477862114225091,-0.9747,0.9442,0.228352200211674,316,0.0782848101265823,0.198335443037975,0.723376582278481,55.1642827004219
"337","Feb 17 03",-0.351099420289855,0.481815279606669,-0.9747,0.8979,0.232145963662453,345,0.0930550724637681,0.207797101449275,0.699171014492754,56.1264637681159
"338","Feb 17 04",-0.364082965299685,0.478116533408987,-0.9393,0.8602,0.228595419519027,317,0.085794952681388,0.20816403785489,0.70605047318612,57.1530064844024
"339","Feb 17 05",-0.361404219409283,0.491719202183198,-0.9747,0.7441,0.241787773795681,237,0.0786666666666667,0.206185654008439,0.715151898734177,58.1185771214252
"340","Feb 17 06",-0.316951598173516,0.49930043669807,-0.9747,0.9442,0.249300926086884,219,0.0847808219178082,0.198223744292237,0.716954337899543,59.1403310502283
"341","Feb 17 07",-0.379838571428571,0.479169296363654,-0.9657,0.652,0.22960321457764,70,0.0832,0.217657142857143,0.699128571428571,60.3939325396825
"342","Feb 17 08",-0.348581355932203,0.472474553730603,-0.9393,0.7866,0.223232203922932,118,0.0747627118644068,0.190194915254237,0.735008474576271,61.1275988700565
"343","Feb 17 09",-0.384393333333333,0.449867624603801,-0.9201,0.6369,0.202380879666667,105,0.0854952380952381,0.209790476190476,0.704714285714286,62.1289788359788
"344","Feb 17 10",-0.344183157894737,0.487963965937805,-0.9259,0.6249,0.238108832053751,95,0.0977052631578947,0.214842105263158,0.687389473684211,63.2001023391813
"345","Feb 17 11",-0.352566315789474,0.514712270916506,-0.9393,0.6435,0.264928721832027,95,0.0843052631578947,0.207210526315789,0.708484210526316,64.1631842105263
"346","Feb 17 12",-0.304429677419355,0.462824722534197,-0.9803,0.7906,0.214206723788856,155,0.0799612903225806,0.182593548387097,0.73741935483871,65.155353046595
"347","Feb 17 13",-0.349868398268398,0.466440838316246,-0.9747,0.6249,0.217567055649162,231,0.0785194805194805,0.201177489177489,0.72030303030303,66.2202320827321
"348","Feb 17 14",-0.325218367346939,0.500238007109668,-0.9747,0.8885,0.250238063757052,294,0.079469387755102,0.201343537414966,0.719200680272109,67.1929166666667
"349","Feb 17 15",-0.333790060240964,0.490467928239983,-0.9747,0.7866,0.240558788632021,332,0.0815030120481928,0.204710843373494,0.713746987951807,68.1672205488621
